date,year,type,country,state,location,activity,sex,age,injury,time,species
Mar-1975,1975.0,Sea Disaster,BANGLADESH,Ganges-Brahmaputra delta,,Ferry capsized,M,,Fatal,,
23-Feb-1975,1975.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Surfing,M,16,Injured,10h55,1.5 m [5'] shark
Reported 14-Feb-1975,1975.0,Watercraft,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,,M,,Shark bit rudder & hull,,"Mako shark, 3 m [10'] "
10-Feb-1975,1975.0,Unprovoked,AUSTRALIA,South Australia,(Point Sinclair) Penong,Swimming,M,12,Fatal,18h00,White shark
09-Feb-1975,1975.0,Unprovoked,AUSTRALIA,Victoria,Anglesea,Fishing,M,45,Injured,,"Carpet shark, 10' "
07-Feb-1975,1975.0,Unprovoked,AUSTRALIA,Queensland,Currumbin Rock,,M,,Injured,,
01-Feb-1975,1975.0,Provoked,SOUTH AFRICA,Western Cape Province,"Beespens, False Bay",Fishing,M,12,Injured,,Copper shark
19-Jan-1975,1975.0,Unprovoked,AUSTRALIA,South Australia,Coffin Bay,Surfing,M,17,Fatal,,
1975,1975.0,Unprovoked,BERMUDA,,,Fishing,M,25,Injured,,Blue shark
1975,1975.0,Unprovoked,REUNION,,,,M,,Fatal,,
21-Dec-1974,1974.0,Watercraft,AUSTRALIA,South Australia,Glenelg,Fishing,M,,No injury,Morning,White shark
12-Dec-1974,1974.0,Unprovoked,AUSTRALIA,Western Australia,Geographe Bay,,M,32,Injured,,
01-Nov-1974,1974.0,Unprovoked,USA,Florida,Volusia County,Standing,M,24,Injured,Afternoon,
28-Sep-1974,1974.0,Unprovoked,USA,California,"North of Point Sur, Monterey County",Surfing,M,17,Injured,07h30,White shark
14-Sep-1974,1974.0,Unprovoked,USA,California,"North Farallon Island, Farallon Islands",Diving,M,29,Injured,13h45,White shark
07-Sep-1974,1974.0,Unprovoked,ISRAEL,Red Sea,"North Beach, Eilat",Swimming,F,20,Injured,17h00,"Shortfin mako shark, 2.3 m [7.5'] "
02-Sep-1974,1974.0,Unprovoked,USA,California,"Franklin Point, San Mateo County",Diving,M,41,Injured,17h30,White shark
02-Sep-1974,1974.0,Unprovoked,USA,California,"Franklin Point, San Mateo County",Diving,M,48,Minor bite on foot & swimfin,17h30,White shark
01-Sep-1974,1974.0,Sea Disaster,AUSTRALIA,Queensland,"Junpinpin, off Stradbroke Island",Fishing,M,30,"Missing, believed taken by a shark",,
Sep-1974,1974.0,Unprovoked,USA,Oregon,Myers Creek,Surfing,M,24,No injury,Morning,White shark
23-Aug-1974,1974.0,Unprovoked,HONG KONG,Mirs Bay ,,Swimming,M,22,Injured,,
16-Aug-1974,1974.0,Unprovoked,HONG KONG,Mirs Bay ,,Swimming,M,,Fatal,,
16-Aug-1974,1974.0,Unprovoked,HONG KONG,Mirs Bay ,,Swimming,M,19,Injured,,
16-Aug-1974,1974.0,Unprovoked,HONG KONG,Mirs Bay ,,Swimming,M,18,Injured,,
10-Aug-1974,1974.0,Unprovoked,CROATIA, Split-Dalmatia County," Lokva Rogoznica, Omis",,M,21,Fatal,15h00,White shark
05-Aug-1974,1974.0,Unprovoked,USA,California,"San Gregorio Beach, San Mateo County",Surfing,M,,Injured,,White shark
26-Jul-1974,1974.0,Unprovoked,USA,California,"Albion Cove, Albion, Mendocino County",Diving,M,36,Injured,,White shark
20-Jul-1974,1974.0,Unprovoked,USA,Georgia,"Back River, Savannah Beach, Chatham County",Swimming,M,17,Fatal,,small sharks'
02-Jul-1974,1974.0,Sea Disaster,USA,Florida ,Gulf of Mexico,Adrift after the sinking of the motor yacht Princess Dianne,M,10,Fatal,,3.7 m [12'] sharks
20-Jun-1974,1974.0,Unprovoked,USA,Florida,Volusia County,Swimming,F,61,Injured,08h55,
26-May-1974,1974.0,Unprovoked,USA,California,"Tomales Point, Marin County",Diving,M,45,Injured,11h30,White shark
Reported 25-Apr-1974,1974.0,Sea Disaster,BRAZIL,,,Fishing,M,,Fatal,,
20-Apr-1974,1974.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Fishing,M,22,Injured,Late afternoon,"Raggedtooth shark, 1.5 m [5'] "
14-Apr-1974,1974.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Glengariff,Standing,M,19,Injured,15h30,
12-Apr-1974,1974.0,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,F,11,Injured,,
04-Apr-1974,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Surfing,M,17,Injured,16h30,Juvenile dusky shark
21-Mar-1974,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,M,21,No injury,16h30 or 18h00,1.8 m [6'] shark
Mar-1974,1974.0,Watercraft,SOUTH AFRICA,Western Cape Province,Macassar,Fishing,M,,No injury,,White shark
13-Feb-1974,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Swimming,M,14,"Right calf removed, leg surgically amputated below the knee",19h00,
13-Feb-1974,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Swimming,M,19,Injured,19h00,
Feb-1974,1974.0,Watercraft,SOUTH AFRICA,Western Cape Province,Macassar,Fishing,M,,No injury,,White shark
Early Feb-1974,1974.0,Watercraft,SOUTH AFRICA,Western Cape Province,Macassar,Fishing,M,,No injury,Night,White shark
13-Jan-1974,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Sitting,M,42,Injured,,"Raggedtooth shark, 1 m "
09-Jan-1974,1974.0,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,Diving,M,26,Fatal,,White shark
07-Jan-1974,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Swimming,M,33,Injured,14h10,2 m to 2.5 m [6.75'  to 8.25'] shark
07-Jan-1974,1974.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,,Fatal,,
07-Jan-1974,1974.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,32,Fatal,,
Summer 1974,1974.0,Unprovoked,AUSTRALIA,Western Australia,Emu Channel,Fishing,M,,Injured,,"Bronze whaler shark, 4' "
1974,1974.0,Unprovoked,CROATIA,Primorje-Gorski Kotar County ,Preluka Harbour,,M,,Fatal,,
25-Dec-1973,1973.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Fishing,M,41,Injured,11h20,
21-Dec-1973,1973.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,20 ,Fatal,12h00,
Reported 18-Dec-1973,1973.0,Unprovoked,PHILIPPINES,Luzon,,Swimming,M,19,Fatal,,
18-Dec-1973,1973.0,Unprovoked,USA,Hawaii,"Kalama Beach, Kihei, Maui",Swimming,M,,Injured,,
Dec-1973,1973.0,Unprovoked,MEXICO,Guerrero,Acapulco Bay,Swimming,M,20s,Fatal,Late afternoon,
25-Nov-1973,1973.0,Unprovoked,AUSTRALIA,Western Australia,Swan River,,M,,Injured,,
24-Nov-1973,1973.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,13,Injured,Afternoon,
03-Nov-1973,1973.0,Unprovoked,AUSTRALIA,Queensland,Gin Arm Creek,,M,,Injured,,
29-Sep-1973,1973.0,Sea Disaster,SOUTH AFRICA,KwaZulu-Natal,Mission Rocks,Fishing,M,,Fatal,,
14-Sep-1973,1973.0,Unprovoked,BAHAMAS,Grand Bahama Island,"Memory Rock, 18 miles from NW end of the Island",Diving,M,11,Injured,14h30,Bull shark
Reported 10-Sep-1973,1973.0,Unprovoked,HONG KONG,Mirs Bay ,,Swimming,M,20,Fatal,,
09-Sep-1973,1973.0,Unprovoked,MEXICO,Baja California,Guadalupe Island,Diving,M,37,Fatal,16h45,White shark
Sep-1973,1973.0,Unprovoked,EGYPT,Red Sea,Southern end of the Sinai Peninsula,,M,,Injured,,Tiger shark
27-Aug-1973,1973.0,Unprovoked,AUSTRALIA,Queensland,Palm Cove Beach,,M,21,,,
25-Aug-1973,1973.0,Unprovoked,AUSTRALIA,Queensland,"Point Lookout, Stradbroke Island",Surfing,M,16,Right foot severed,,12' shark
16-Aug-1973,1973.0,Unprovoked,USA,Virginia,False Cape,Spearfishing,M,17,Injured,,Black shark
13-Jun-1973,1973.0,Unprovoked,HONG KONG,,,Swimming,M,,Injured,,
04-Apr-1973,1973.0,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Wading,M,45,Fatal,18h00,
26-Mar-1973,1973.0,Unprovoked,AUSTRALIA,Queensland,Palm Island,,M,,Injured,,
05-Mar-1973,1973.0,Unprovoked,MOZAMBIQUE,Gaza,"Chongeone, Xai Xai",Fishing,M,28,Fatal,Morning,
Mar-1973,1973.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Fishing,M,26,Hip bruised,Morning,Black shark
27-Feb-1973,1973.0,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Swimming,M,57,Fatal,,
21-Jan-1973,1973.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Fishing,M,,Hooked & gaffed shark bit his right elbow PROVOKED INCIDENT,,1 m shark
09-Jan-1973,1973.0,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",Surfing,M,,Injured,,1.2 m to 1.8 m [4' to 6'] shark observed in area
1973,1973.0,Unprovoked,PALAU,Aulong Island,Aulong Channel,Diving,M,,No injury,,Tiger shark
1973,1973.0,Unprovoked,PALAU,Western Caroline Islands,,Diving,M,,Injured,,Grey shark
1973,1973.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,13,No injury,08h00,
31-Dec-1972,1972.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Millers Point,Treading water,M,29,Injured,14h00,
26-Dec-1972,1972.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,25,Injured,15h00,2 m to 3 m shark
25-Dec-1972,1972.0,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Surfing,M,17,Fatal,Afternoon,
24-Dec-1972,1972.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Hartenbos,Swimming,M,,No injury,09h00,White shark
21-Dec-1972,1972.0,Unprovoked,AUSTRALIA,Queensland,Currumbin Rock,,M,,Injured,,
08-Dec-1972,1972.0,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",,M,24,PROVOKED INCIDENT,,
01-Dec-1972,1972.0,Unprovoked,REUNION,Saint-Philippe,Basse Vallée,Fishing,M,,Fatal,,
21-Oct-1972,1972.0,Unprovoked,AUSTRALIA,Queensland,"Stevens Reef, 70 miles from Mackay",Fishing,M,24,Injured,,
21-Oct-1972,1972.0,Unprovoked,AUSTRALIA,New South Wales,Tabourie Beach,Surfing,M,19,Injured,,"Bronze whaler shark, 10' "
14-Oct-1972,1972.0,Unprovoked,USA,US Virgin Islands,"St. Croix, Cane Bay",Diving,M,,Fatal,,White shark
14-Oct-1972,1972.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,17,Injured,,
Reported 10-Oct-1972,1972.0,Unprovoked,NEW ZEALAND,North Island,Wanganui,Swimming,M,17,No injury,,
09-Sep-1972,1972.0,Unprovoked,USA,California,"Point Sur, Monterey County",Surfing,M,,Injured,10h00,White shark
04-Sep-1972,1972.0,Invalid,MOZAMBIQUE,Maputo Province,Inhaca Island,Swimming,F,20,Injured,,Questionable incident
29-Aug-1972,1972.0,Unprovoked,USA,Florida,St. Johns County,Surfing,M,15,Injured,Evening,
17-Aug-1972,1972.0,Unprovoked,USA,Hawaii,"Waimanu, Honoka'a, Hawai'i",Fishing,M,,Injured,,2.4 m [8'] shark
08-Aug-1972,1972.0,Unprovoked,AUSTRALIA,Tasmania,Tasman Island,Diving,M,45,Injured,,White shark
05-Jul-1972,1972.0,Invalid,USA,California,"Laguna Beach, Orange County",Diving,M,,Sharks reportedly bit legs & fins ,,Questionable incident
Reported 26-Jun-1972,1972.0,Unprovoked,AUSTRALIA,Queensland,Pancake Creek,,M,,Fatal,,
Reported 26-Jun-1972,1972.0,Unprovoked,AUSTRALIA,Queensland,Pancake Creek,,M,,Fatal,,
10-Jun-1972,1972.0,Unprovoked,USA,Florida,Brevard County,Surfing,M,22,Injured,11h30,4.5' shark
28-May-1972,1972.0,Unprovoked,USA,California,"Bird Rock, near Tomales Point, Marin County",Diving,M,32,Injured,13h30,White shark
06-May-1972,1972.0,Unprovoked,FRENCH POLYNESIA,Tuamotus,Ahé Atoll,Fishing,M,27,Injured,,Grey shark
16-Apr-1972,1972.0,Unprovoked,WESTERN SAMOA,Upolu Island,Nu’ulua,Swimming,M,25,Fatal,,Tiger shark
01-Apr-1972,1972.0,Unprovoked,AUSTRALIA,Queensland,Wellington Point,,F,,Injured,,
01-Apr-1972,1972.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,19,Fatal,17h00,
21-Mar-1972,1972.0,Provoked,PACIFIC OCEAN ,,,Fishing,M,33,Injured,,
16-Mar-1972,1972.0,Unprovoked,USA,Hawaii,"Waihe'e, Wailuku, Maui",Fishing,M,,Injured,,
20-Feb-1972,1972.0,Unprovoked,AUSTRALIA,Victoria,"Wilson's Promontory, Waratah Bay",Surfing,M,18,Injured,11h00,7' shark
12-Feb-1972,1972.0,Unprovoked,AUSTRALIA,Tasmania,Elliot's Cove,,M,,Injured,,
01-Jan-1972,1972.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. George’s Strand,Swimming,M,20,Fatal,,
01-Jan-1972,1972.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Kosi Bay,Sitting in shallows,F,30,Injured,20h00,Zambesi shark
01-Jan-1972,1972.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Standing,M,24,Injured,16h20,White shark
Jan-1972,1972.0,Unprovoked,MOZAMBIQUE,Maputo Province,Ponto do Ouro,Fishing,M,,Injured,,
1972,1972.0,Unprovoked,FRANCE,Antibes,,Swimming,M,,Injured,,White shark
1972,1972.0,Unprovoked,MARSHALL ISLANDS,Illeginni Atoll,,Diving,M,,Injured,,Grey shark
23-Dec-1971,1971.0,Unprovoked,AUSTRALIA,New South Wales,Smokey Cape,,M,22,Injured,,
16-Dec-1971,1971.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,16,Injured,14h45,White shark
05-Dec-1971,1971.0,Unprovoked,AUSTRALIA,Queensland,Gladstone,,M,20,Fatal,,
Reported 25-Nov-1971,1971.0,Unprovoked,HONG KONG,Mirs Bay ,,Swimming,M,20,Injured,Just before dawn,
27-Oct-1971,1971.0,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",,M,20,PROVOKED INCIDENT,,
23-Oct-1971,1971.0,Unprovoked,USA,Florida,"Ft. Pierce, St Lucie County",Surfing,M,18,Injured,Afternoon,5' to 6' shark
14-Oct-1971,1971.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Swimming,M,25,Injured,Evening,1.5 m to 2 m shark
02-Oct-1971,1971.0,Unprovoked,USA,California,"Sea Ranch, Sonoma County",Diving,M,30,Injured, 14h00,White shark
25-Sep-1971,1971.0,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Surfing,M,17,Injured,,
07-Sep-1971,1971.0,Unprovoked,CROATIA,Istria County,Ika,Swimming,M,34,Fatal,10h30,White shark
05-Sep-1971,1971.0,Unprovoked,AUSTRALIA,South Australia,Adelaide,Fishing,M,51,Fatal,,
21-Aug-1971,1971.0,Provoked,AUSTRALIA,New South Wales,"Manly Marineland, Sydney",Diving,M,26,Injured,13h15,Grey shark
26-Jul-1971,1971.0,Unprovoked,USA,Florida,Volusia County,Wading,M,8,Injured,Afternoon,
19-Jul-1971,1971.0,Unprovoked,USA,California,"Point Purisima, Santa Barbara County",Diving,M,,Injured,,White shark
30-Jun-1971,1971.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,M,21,Injured,15h35,White shark
01-Jun-1971,1971.0,Unprovoked,BRITISH ISLES,South Devon,Beesands,Diving,M,32,No injury,,3.6 m  porbeagle shark
Reported 16-Apr-1971,1971.0,Unprovoked,KENYA,Coast Province,Watamu,Swimming,M,16,Injured,,"2 m [6'9""] shark"
11-Apr-1971,1971.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay,Swimming,M,>50,Fatal,11h30,White shark
6-Apr-1971,1971.0,Unprovoked,MEXICO,Guerrero,"Copacabana Beach, Acapulco",Surfing,M,19,Fatal,11h00,
5-Apr-1971,1971.0,Unprovoked,VENEZUELA,,,,M,14,Fatal,,
5-Apr-1971,1971.0,Unprovoked,VENEZUELA,,,,M,66,Fatal,,
Late Apr-1971,1971.0,Sea Disaster,MOZAMBIQUE,Between Beira & Maputo,,Wreck of the 1689-ton Portuguese  coaster Angoche,M,,Fatal,,
30-Mar-1971,1971.0,Unprovoked,NEW ZEALAND,South Island,Dunedin,Surfing,M,16,Injured,10h20,White shark
02-Jan-1971,1971.0,Unprovoked,AUSTRALIA,Tasmania,,Swimming,M,,Injured,16h30,
1971,1971.0,Unprovoked,USA,California,"Franklin Point, San Mateo County",Diving,M,,Injured,,White shark
1971,1971.0,Unprovoked,AUSTRALIA,South Australia,Southport,Surfing,M,15,Injured,,White shark
1971,1971.0,Unprovoked,CROATIA,Istria ,Ika,Swimming,M,,Fatal,,White shark
1971,1971.0,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",,M,,Injured,,
1971,1971.0,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",,M,,Injured,,
17-Dec-1970,1970.0,Unprovoked,MOZAMBIQUE,Inhambe Province,"Inhasoka, Inhambe Bay",Fishing,M,18,Fatal,15h00,
13-Dec-1970,1970.0,Unprovoked,MOZAMBIQUE,Inhambe Province,"Inhambe Bay Estuary, 10 to 12 miles inland from the sea",Fishing,M,18 to 22,Fatal,,
07-Dec-1970,1970.0,Unprovoked,MICRONESIA,Namonuito Atoll,Pisarach (Pisaras),Fishing,M,,Injured,23h00,1.8 m shark
03-Dec-1970,1970.0,Sea Disaster,USA,Hawaii,Kauai,Shipwreck,M,41,Injured,,
Nov-1970,1970.0,Unprovoked,,,,,M,,Injured,,
24-Oct-1970,1970.0,Unprovoked,USA,Hawaii,"Brennecke Beach, Po'ipu, Kaua'i",Surfing,M,,Injured,,
Oct-1970,1970.0,Unprovoked,USA,Florida,"Matanzas Inlet, St Johns County",Surfing,M,,Injured,,
28-Sep-1970,1970.0,Unprovoked,MICRONESIA,Eastern Caroline Islands,Truk Lagoon,Diving,M,43,Injured,10h00,1.8 to 2 m C. albimarginatus
13-Sep-1970,1970.0,Provoked,PALAU,Western Caroline Islands (North Pacific Ocean),Outside barrier reef,Fishing,M,20,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",,1 m shark
05-Sep-1970,1970.0,Unprovoked,USA,Florida,Brevard County,Floating on a raft,M,18,Injured,11h30,
02-Sep-1970,1970.0,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",,M,20,PROVOKED INCIDENT,,
Sep-1970,1970.0,Unprovoked,USA,South Carolina,,Swimming,M,,Injured,,"""Dog shark"""
Sep-1970,1970.0,Unprovoked,USA,Florida,Pinellas County,Diving,M,,Injured,,
02-Aug-1970,1970.0,Invalid,,Caribbean Sea,Between St. Kitts & Nevis,Sea Disaster Sinking of ferryboat Christina,M,,"Sharks scavenged on bodies, but no record of them injuring survivors ",Afternoon,Not confirmed
5-Jul-1970,1970.0,Unprovoked,,,,,M,,Finger or toe severed,Night,Mako shark
22-Jun-1970,1970.0,Provoked,USA,Florida,"Dania, Broward County",Fishing,M,13,Injured,,7.5' shark
15-Jun-1970,1970.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank, Oceanographic Research Institute, Durban",Diving,M,25,Injured,16h00,"Raggedtooth shark, 2 m [6'9""], 5-year-old, captive female "
13-Jun-1970,1970.0,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Wading,M,16,Fatal,14h00,
13-Jun-1970,1970.0,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Wading,M,18,Fatal,14h00,
Jun-1970,1970.0,Sea Disaster,PHILIPPINES,200 nm southeast of Manila,,Motor launch Baby Princesa capsized with 22 people on board,M,,Injured,,
4-Apr-1970,1970.0,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Swimming,M,14,Fatal,16h00,
Apr-1970,1970.0,Provoked,,,,Diving,M,,Injured,,Wobbegong shark 
Apr-1970,1970.0,Unprovoked,SOLOMON ISLANDS,,,Swimming,M,,No details,,Wobbegong shark
31-Mar-1970,1970.0,Invalid,USA,Hawaii,"Waimea Bay, O'ahu",Surfing,M,,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",,Not confirmed
23-Mar-1970,1970.0,Unprovoked,USA,Florida,Manatee County,Wading,M,19,Injured,Late afternoon,
5-Feb-1970,1970.0,Unprovoked,,,,Wading,F,8,Injured,,Carpet shark
23-Jan-1970,1970.0,Unprovoked,MOZAMBIQUE,Limpopo River,3.2 km inland,Swimming,M,14,Injured,,
23-Jan-1970,1970.0,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,16,Injured,,Zambesi shark
23-Jan-1970,1970.0,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,12,Injured,,Zambesi shark
23-Jan-1970,1970.0,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,10,Injured,,Zambesi shark
    16-Jan-1970,1970.0,Sea Disaster,EGYPT,Red Sea,A few miles south of Port Suez,Air disaster,M,,Fatal,,
10-Jan-1970,1970.0,Unprovoked,MEXICO,Guerrero,Acapulco,Swimming,M,22,Injured,,
Reported 09-Jan-1970,1970.0,Unprovoked,ENGLAND,Devon,Teignmouth,Attempted to return injured shark to the sea,M,,Injured,,Blue shark
 Jan-1970,1970.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,,Diving,M,15,Injured,,
1970s,1970.0,Unprovoked,SRI LANKA,Western Province,Colombo Harbor,Diving,M,,Swim fins badly torn by the shark's teeth,,
Late 1970s,1970.0,Unprovoked,SPAIN,Canary Islands,"Icod de los Vinos, Tenerife",Fishing,M,,Injured,,Blue shark
Ca. 1970,1970.0,Watercraft,ITALY,Sardinia,Golfo di Oristano,Fishing,M,,No injury,,White shark
1970,1970.0,Unprovoked,CROATIA,Zadar County,Novigrad,Fishing,M,,No details,,White shark
1970s,1970.0,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Washing cooking pans,F,28,Left hand severed,Afternoon,
1970s,1970.0,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River near Abu al Khasib,Washing clothes on stairs,F,25,Left foot severed,,
1970s,1970.0,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Swimming,M,35,Fatal,12h00,
1970s,1970.0,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Fishing,M,35,Injured,Afternoon,
30-Nov-1969,1969.0,Unprovoked,AUSTRALIA,Western Australia,"Swan River, 13 miles upstream",Swimming,M,15,Injured,Afternoon,
11-Nov-1969,1969.0,Unprovoked,USA,Hawaii,"Barber’s Point, O'ahu",Diving,M,,Injured,,>2.4 m [8'] shark
05-Nov-1969,1969.0,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",,M,27,PROVOKED INCIDENT,,
14-Oct-1969,1969.0,Unprovoked,USA,Hawaii,Hawaii,Diving,M,,No injury,Morning,White shark
06-Sep-1969,1969.0,Unprovoked,USA,California,"Bird Rock, Tomales Point, near Marin County / Sonoma County border",Diving,M,53,Injured,11h20,White shark
29-Aug-1969,1969.0,Unprovoked,USA,Florida,"North Beach, St. Lucie County",Floating on his back,M,,Injured,Afternoon,
22-Aug-1969,1969.0,Provoked,USA,Massachusetts,40 miles south of Nantucket,Fishing,M,28,Injured,,
02-Aug-1969,1969.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,15,Injured,Morning,
02-Aug-1969,1969.0,Unprovoked,USA,Florida,"St. Petersburg, Pinnellas County",Surfing,M,13,Injured,16h30,4' shark
Aug-1969,1969.0,Unprovoked,,,,,M,25,Injured,,
27-Jul-1969,1969.0,Provoked,ENGLAND,,,,M,,Injured,,
22-Jul-1969,1969.0,Provoked,USA,Florida,Florida Keys,,M,13,Scrape on head. Recorded as PROVOKED INCIDENT,16h00,Nurse shark
20-Jul-1969,1969.0,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Diving,M,,Injured,13h00,White shark
27-Jun-1969,1969.0,Unprovoked,USA,Florida,Florida Keys,Wading,M,22,No details,1600,
12-Jun-1969,1969.0,Unprovoked,JAMAICA,Clarendon,Off Rocky Point,Diving,M,27,Injured,Morning,
Jun-1969,1969.0,Unprovoked,USA,Florida,Sarasota County,Wading,M,8,No injury,20h00,
25-May-1969,1969.0,Provoked,USA,Texas,Packery Channel,Surfing,M,,Injured,19h00,2' to 3' shark
24-May-1969,1969.0,Provoked,USA,Florida,Sarasota County,Diving,M,23,Injured,11h00,Nurse shark
22-May-1969,1969.0,Unprovoked,DOMINICAN REPUBLIC,,,Surfing,M,18,,16h00,
14-May-1969,1969.0,Unprovoked,AUSTRALIA,Queensland,Broomfield Reef,,M,,Injured,,
22-Apr-1969,1969.0,Invalid,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads",Netting pilchards,M,,No injury,,"Considered a ""Doubtful"" incident"
19-Aug-1969,1969.0,Provoked,USA,Florida,"Marathon, Monroe County",Fishing,M,adult,Injured,,"Lemon shark, 9' "
25-Mar-1969,1969.0,Provoked,AUSTRALIA,New South Wales,Newcastle,,M,65,Injured,,Mako shark
09-Mar-1969,1969.0,Unprovoked,USA,Hawaii,"Makaha, O'ahu",Surfing,M,16,Injured,17h30,White shark
Reported 17-Feb-1969,1969.0,Provoked,AUSTRALIA,Tasmania,Taroona,Fishing,M,49,Injured,Daytime,7-gill shark
Feb-1969,1969.0,Invalid,AUSTRALIA,Queensland,Cooktown,Diving,M,52,No details,,Questionable incident
27-Jan-1969,1969.0,Unprovoked,AUSTRALIA,New South Wales,Beecroft Head,Diving,M,21,Injured,07h30,
Jan-1969,1969.0,Unprovoked,AUSTRALIA,Victoria,Port MacDonnel,,M,,Injured,,Carpet shark
Winter 1969,1969.0,Provoked,BAHAMAS,Eleuthera,,Sight-seeing,M,,No injury,,10' shark
29-Dec-1968,1968.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Port St. John's,Diving,M,,No injury,,Questionable incident
26-Dec-1968,1968.0,Provoked,AUSTRALIA,New South Wales,"Marineland Aquarium, Manley, Sydney",Feeding mullet to sharks,M,27,Injured,Morning,Grey shark
25-Dec-1968,1968.0,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",Surfing,M,17,Injured,17h45,White shark
09-Dec-1968,1968.0,Unprovoked,AUSTRALIA,South Australia,Thistle Island,,M,,Injured,,White shark
02-Dec-1968,1968.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Bluff, Durban",Fishing,M,28,No injury,,Hammerhead shark
Dec-1968,1968.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,,,M,30,No injury,,Questionable incident
06-Nov-1968,1968.0,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Ramsgate,Fishing,M,22,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",,Black shark
