date,year,type,country,state,location,activity,sex,age,injury,time,species
04 Sep 2023,2023.0,Unprovoked,USA,Florida,Volusia County,Wading,F,37,Injured,,
25 Aug 2023,2023.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Port Macquarie ",Surfing,M,44,Injured,10h00,White shark
23 Aug-2023,2023.0,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,9,Injured,09h00,
22 Aug-2023,2023.0,Watercraft,USA,California,"Pebble Beach, San Mateo County",Fishing,M,19,No injury,13h00,
21 Aug-2023,2023.0,Questionable,BAHAMAS,New Providence   Isoad,"Saunders Beach, Nassau",,M,20/30,Body found with shark bites. Possible drowning. Cause of Death Unknown,Morning,
16 Aug-2023,2023.0,Unprovoked,SPAIN,Valencia,Rabdells Beach,Wading,M,35,Injured,Afternoon,Blue shark
16 Aug-2023,2023.0,Provoked,PORTUGAL,Norte, 9 nm off Vila do Conde ,Fishing,M,,Injured,19h30,Blue shark
12 Aug-2023,2023.0,Unprovoked,SAMOA,Savai'i island,Lano,Towing a dead whale out to sea,M,,Fatal,Evening,
07 Aug-2023,2023.0,Unprovoked,USA,New York,Rockaway,Wading,F,65,Injured,17h50,
31 Jul-2023,2023.0,Unprovoked,USA,Florida,Volusia County,Surfing,M,22,Injured,09h30,
30 Jul-2023,2023.0,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Fishing,M,22,Injured,15h30,
29 Jul-2023,2023.0,Unprovoked,USA,Florida,Tampa Bay,Swimming,F,26,Injured,20h00,
24 Jul-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Gnarabup Beach ,Surfing,M,20s,Injured,08h45,Wfite shark
22 Jul-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Yallingup Lagoon,Snorkeling,M,77,Injured,,Wobbegong shark
21 Jul-2023,2023.0,Unprovoked,USA,South Carolina,"Sea Pines Beach, Hilton Head Island, Beaufort County",Boogie boarding,M,60,Injured,13h20,8' shark
18 Jul-2023,2023.0,Unprovoked,COLOMBIA,San Andrés Island,Nirvana,Diving,M,38,Injured,"""Midday""",White shark
15 Jul-2023,2023.0,Unprovoked,USA,Florida,New Smyrna Beach,Sitting,M,49,Superficial injury to back,14h00,
14 Jul-2023,2023.0,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,21,Severe injury to foot,15h00,
04 Jul-2023,2023.0,Unprovoked,ECUADOR,Galapagos Islands,Mosquera Islet,Snorkeling,F,42,Serious injury to right leg,,
04 Jul-2023,2023.0,Unprovoked,USA,New York,"Cherry Grove, Suffolk County",Standing,F,,Injured,16h25,4' shark
04 Jul-2023,2023.0,Unprovoked,USA,New York,"Fire Island Pines, Suffolk County",Swimming,M,49,Injury to right hand,13h55,3' shark
04 Jul-2023,2023.0,Unprovoked,USA,New York,"Quogue Village Beach, Suffolk County",Swimming,M,47,Injured,13h50,
03 Jul-2023,2023.0,Unprovoked,USA,New York,"Kismet Beach, Suffolk County",Surfing,M,15,Injury to left heel and toes,17h20,
03 Jul-2023,2023.0,Unprovoked,USA,New York,"Beach 3, Robert Moses State Park, Suffolk County",Swimming,F,15,Injured,13h45,Tiger shark
23-Jun-2023,2023.0,Unprovoked,USA,Florida,Brevard County,Swimming,F,!2,Injured,,
23-Jun-2023,2023.0,Unprovoked,USA,Florida,"Flamingo Marina, Homestead, Miami-Dade County",Fishing,M,,Injured,10h10,
Reported 14-June 2023,2023.0,Unprovoked,USA,Hawaii,Laysan,Filming,M,,Sharks bit their inflatable boats,,Tiger shark
08-Jun 2023,2023.0,Unprovoked,EGYPT,Red Sea Protectorate,"Dream Beach, Hurguda",Swimming,M,24,Fatal,15h00,Tiger shark
07-Jun-2023,2023.0,Unprovoked,BAHAMAS,Freeport,Shark Junction,Diving,F,73,Injured,13h00,Caribbean rreef shark
28-May 2023,2023.0,Unprovoked,FRENCH POLYNESIA,Tahiti,"Matavai Bay, Arue, Papetee",Surfing,F,25,Injured,14h35,Grey shark
28-May 2023,2023.0,Unprovoked,NEW CALEDONIA,Poum,Twagne,Fishing,M,42,Fatal,11h00,
24-May 2023,2023.0,Unprovoked,TURKS and CaICOS,Providenciales Island,Grace Bay Beach,Snorkeling,F,22,Left foot severed,15h00,Caribbean reef shark
24 May 2023,2023.0,Questionable,BAHAMAS,Lucayan Lucayan Archipelago,Athol Island,Jumped overboard,M,18,"Presumed fatal, body not recovered",Night,Shark involvement not confirmes
2023-05-20 00:00:00,2023.0,Provoked,USA, Utah,Sea Quest Aquarium Layton Davis County,Shark Feeding,F,26,Injured,1500h ,"18"" - 23"" Horn shark"
21-May 2023,2023.0,Unprovoked,USA,New Jersey,"Stone Harbor, Cape May County",Surfing,F,15,Injured,15h00,
19 -May 2023,2023.0,Provoked,USA,Florida,"Flagship Drive, Summerland Key, Monroe County",Fishing,M,35,PROVOKED INCIDENT   Hooked shark bit his foot,20h00,
18-May-2023,2023.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Fishing,M,20, ,15h00,
14-May-2023,2023.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,F,24,Minor inuries to right knee,17h00,
13-May-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Elliston,Surfing,M,46,Fatal,10h10,White shark
11-May-2023,2023.0,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County",Sitting,F,13,Multiple bites,Afternoon,Bull shark
